instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,10979.0,9358.0,577.2979642196175,True,False
dkg813,813,31953.0,28754.0,898.8433885589247,True,False
gr666,666,2304111.0,2009707.0,682.6357658183992,True,False
lim963,963,30627.0,27838.0,998.1355324489064,True,False
pa561,561,17481.0,14718.0,532.6818675352877,True,False
pbk411,411,9237.0,7894.0,587.7885331347729,True,False
pbl395,395,7820.0,6539.0,510.4605776736924,True,False
pbm436,436,9890.0,8447.0,585.3776853776853,True,False
pbn423,423,9556.0,8191.0,600.07326007326,True,False
pcb442,442,337287.0,286509.0,564.2384497223208,True,False
pka379,379,10274.0,8942.0,671.3213213213213,True,False
rbu737,737,29201.0,25884.0,780.3436840518541,True,False
rbx711,711,28315.0,25200.0,808.9887640449439,True,False
xql662,662,21461.0,18948.0,753.99920413848,True,False
