instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,6956.0,5335.0,329.1178285009253,True,False
dkg813,813,20147.0,16948.0,529.7905595498594,True,False
gr666,666,1408700.0,1114342.0,378.5669151169664,True,False
lim963,963,19743.0,16954.0,607.8881319469344,True,False
pa561,561,12010.0,9247.0,334.6724574737604,True,False
pbk411,411,6163.0,4820.0,358.89798957557707,True,False
pbl395,395,5616.0,4335.0,338.40749414519905,True,False
pbm436,436,6864.0,5421.0,375.6756756756757,True,False
pbn423,423,6137.0,4772.0,349.5970695970696,True,False
pcb442,442,220598.0,169820.0,334.43617314585055,True,False
pka379,379,5617.0,4284.0,321.3803450862716,True,False
rbu737,737,19920.0,16606.0,501.0863005431503,True,False
rbx711,711,17479.0,14362.0,460.76355470003205,True,False
xql662,662,14068.0,11555.0,459.80899323517707,True,False
