instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1654.0,33.0,2.0357803824799507,True,False
dkg813,813,3296.0,97.0,3.0321975617380432,True,False
gr666,666,316208.0,21716.0,7.374054303682273,True,False
lim963,963,3198.0,409.0,14.664754392255288,True,False
pa561,561,3139.0,376.0,13.608396670285922,True,False
pbk411,411,1449.0,106.0,7.892777364110201,True,False
pbl395,395,1321.0,40.0,3.12256049960968,True,False
pbm436,436,1517.0,74.0,5.128205128205128,True,False
pbn423,423,1428.0,63.0,4.615384615384616,True,False
pcb442,442,51118.0,340.0,0.6695813147426051,True,True
pka379,379,1555.0,223.0,16.74174174174174,True,False
rbu737,737,3461.0,145.0,4.372738238841978,True,False
rbx711,711,3209.0,92.0,2.9515559833172924,True,False
xql662,662,2602.0,89.0,3.54158376442499,True,False
 
