instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,18158.0,16537.0,1020.1727328809376,True,False
dkg813,813,57694.0,54495.0,1703.5010940919037,True,False
gr666,666,3696807.0,3402449.0,1155.8880682706092,True,False
lim963,963,48764.0,45975.0,1648.44030118322,True,False
pa561,561,27210.0,24447.0,884.799131378936,True,False
pbk411,411,15597.0,14254.0,1061.3551749813848,True,False
pbl395,395,14517.0,13236.0,1033.2552693208431,True,False
pbm436,436,16093.0,14650.0,1015.2460152460153,True,False
pbn423,423,16418.0,15053.0,1102.7838827838827,True,False
pcb442,442,540734.0,489956.0,964.8981842530229,True,False
pka379,379,21658.0,20325.0,1524.7561890472618,True,False
rbu737,737,52308.0,48994.0,1478.3946891973446,True,False
rbx711,711,44557.0,41440.0,1329.4834777029196,True,False
xql662,662,37556.0,35043.0,1394.4687624353362,True,False
