instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1695.0,74.0,4.565083281924738,True,False
dkg813,813,3668.0,469.0,14.660831509846828,True,False
gr666,666,295507.0,1015.0,0.3446613150781685,True,True
lim963,963,3118.0,329.0,11.79634277518824,True,False
pa561,561,2765.0,2.0,0.07238508867173363,True,True
pbk411,411,1531.0,188.0,13.998510796723753,True,False
pbl395,395,1312.0,31.0,2.419984387197502,True,False
pbm436,436,1560.0,117.0,8.108108108108109,True,False
pbn423,423,1469.0,104.0,7.6190476190476195,True,False
pcb442,442,51209.0,431.0,0.8487927842766552,True,False
pka379,379,1575.0,243.0,18.243243243243242,True,False
rbu737,737,3700.0,386.0,11.647555823777912,True,False
rbx711,711,3185.0,68.0,2.1815848572345207,True,False
xql662,662,2823.0,310.0,12.335853561480302,True,False
