instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1642.0,21.0,1.295496607032696,True,False
dkg813,813,3248.0,49.0,1.5317286652078774,True,False
gr666,666,309279.0,14921.0,5.0689976151489,True,False
lim963,963,2960.0,171.0,6.131229831480818,True,False
pa561,561,3056.0,293.0,10.604415490408975,True,False
pbk411,411,1392.0,49.0,3.648548026805659,True,False
pbl395,395,1298.0,17.0,1.327088212334114,True,False
pbm436,436,1466.0,23.0,1.593901593901594,True,False
pbn423,423,1403.0,38.0,2.783882783882784,True,False
pcb442,442,51076.0,298.0,0.5868683288038127,True,True
pka379,379,1580.0,247.0,18.529632408102024,True,False
rbu737,737,3345.0,31.0,0.9354254677127338,True,False
rbx711,711,3140.0,23.0,0.7378889958293231,True,False
xql662,662,2564.0,46.0,1.8268467037331213,True,False
